"round","inst_code","inst_name","inst_order","panel","uoa","uoa_name","profile","fte","fte_pct","four.and.three","four","three","two","one","unclassified","gpa","power","RG"
2021,10007783,"University of Aberdeen",1,"A",1,"Clinical Medicine","Overall",139.02,100,77,15,62,23,0,0,2.92,405.9384,0
2021,10007783,"University of Aberdeen",1,"A",1,"Clinical Medicine","Outputs",139.02,100,72.7,21,51.7,26.7,0.3,0.3,2.928,407.05056,0
2021,10007783,"University of Aberdeen",1,"A",1,"Clinical Medicine","Impact",139.02,100,72.2,11.1,61.1,27.8,0,0,2.833,393.84366,0
2021,10007783,"University of Aberdeen",1,"A",1,"Clinical Medicine","Environment",139.02,100,100,0,100,0,0,0,3,417.06,0
2021,10007783,"University of Aberdeen",1,"A",2,"Public Health, Health Services and Primary Care","Overall",30.15,100,95,58,37,5,0,0,3.53,106.4295,0
2021,10007783,"University of Aberdeen",1,"A",2,"Public Health, Health Services and Primary Care","Outputs",30.15,100,92,53.3,38.7,8,0,0,3.453,104.10795,0
2021,10007783,"University of Aberdeen",1,"A",2,"Public Health, Health Services and Primary Care","Impact",30.15,100,100,66.7,33.3,0,0,0,3.667,110.56005,0
2021,10007783,"University of Aberdeen",1,"A",2,"Public Health, Health Services and Primary Care","Environment",30.15,100,100,62.5,37.5,0,0,0,3.625,109.29375,0
2021,10007783,"University of Aberdeen",1,"A",4,"Psychology, Psychiatry and Neuroscience","Overall",25,100,94,34,60,6,0,0,3.28,82,0
2021,10007783,"University of Aberdeen",1,"A",4,"Psychology, Psychiatry and Neuroscience","Outputs",25,100,89.3,39.3,50,10.7,0,0,3.286,82.15,0
2021,10007783,"University of Aberdeen",1,"A",4,"Psychology, Psychiatry and Neuroscience","Impact",25,100,100,33.3,66.7,0,0,0,3.333,83.325,0
2021,10007783,"University of Aberdeen",1,"A",4,"Psychology, Psychiatry and Neuroscience","Environment",25,100,100,12.5,87.5,0,0,0,3.125,78.125,0
2021,10007783,"University of Aberdeen",1,"A",5,"Biological Sciences","Overall",16.5,100,79,18,61,21,0,0,2.97,49.005,0
2021,10007783,"University of Aberdeen",1,"A",5,"Biological Sciences","Outputs",16.5,100,70.7,19.5,51.2,29.3,0,0,2.902,47.883,0
2021,10007783,"University of Aberdeen",1,"A",5,"Biological Sciences","Impact",16.5,100,100,25,75,0,0,0,3.25,53.625,0
2021,10007783,"University of Aberdeen",1,"A",5,"Biological Sciences","Environment",16.5,100,75,0,75,25,0,0,2.75,45.375,0
2021,10007783,"University of Aberdeen",1,"B",7,"Earth Systems and Environmental Sciences","Overall",83.2,100,88,26,62,11,1,0,3.13,260.416,0
2021,10007783,"University of Aberdeen",1,"B",7,"Earth Systems and Environmental Sciences","Outputs",83.2,100,85.6,25.5,60.1,13.4,1,0,3.101,258.0032,0
2021,10007783,"University of Aberdeen",1,"B",7,"Earth Systems and Environmental Sciences","Impact",83.2,100,92.9,35.7,57.2,7.1,0,0,3.286,273.3952,0
2021,10007783,"University of Aberdeen",1,"B",7,"Earth Systems and Environmental Sciences","Environment",83.2,100,87.5,12.5,75,12.5,0,0,3,249.6,0
2021,10007783,"University of Aberdeen",1,"B",8,"Chemistry","Overall",19,100,95,21,74,5,0,0,3.16,60.04,0
2021,10007783,"University of Aberdeen",1,"B",8,"Chemistry","Outputs",19,100,91.7,10.4,81.3,8.3,0,0,3.021,57.399,0
2021,10007783,"University of Aberdeen",1,"B",8,"Chemistry","Impact",19,100,100,50,50,0,0,0,3.5,66.5,0
2021,10007783,"University of Aberdeen",1,"B",8,"Chemistry","Environment",19,100,100,12.5,87.5,0,0,0,3.125,59.375,0
2021,10007783,"University of Aberdeen",1,"B",10,"Mathematical Sciences","Overall",24,100,85,25,60,15,0,0,3.1,74.4,0
